Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
369;Bielefeld Airport;Bielefeld;Deutschland;BFE;EDLI;51.964722;8.544444;138;1.0;E;Europe/Berlin;51.964722, 8.544444
373;Dortmund Airport;Dortmund;Deutschland;DTM;EDLW;51.51829910279999;7.61223983765;130;1.0;E;Europe/Berlin;51.51829910279999, 7.61223983765
375;Biberach a.d. Riß Airfield;Biberach;Deutschland;0;EDMB;48.111111;9.762778;580;1.0;E;Europe/Berlin;48.111111, 9.762778
376;Eggenfelden Airport;Eggenfelden;Deutschland;0;EDME;48.39611053466797;12.723610877990723;409;1.0;E;Europe/Berlin;48.39611053466797, 12.723610877990723
381;Leutkirch-Unterzeil Airport;Leutkirch;Deutschland;0;EDNL;47.858890533447266;10.014166831970215;640;1.0;E;Europe/Berlin;47.858890533447266, 10.014166831970215
383;Schwerin Parchim Airport;Parchim;Deutschland;SZW;EDOP;53.426998;11.7834;51;1.0;E;Europe/Berlin;53.426998, 11.7834
387;Burg Feuerstein Airport;Burg Feuerstein;Deutschland;URD;EDQE;49.794166564941;11.133610725403;510;1.0;E;Europe/Berlin;49.794166564941, 11.133610725403
389;Haßfurt-Schweinfurt Airport;Hassfurt;Deutschland;0;EDQT;50.0180549621582;10.529443740844727;219;1.0;E;Europe/Berlin;50.0180549621582, 10.529443740844727
390;Koblenz-Winningen Airfield;Koblenz;Deutschland;0;EDRK;50.325558;7.528611;195;1.0;E;Europe/Berlin;50.325558, 7.528611
396;Mengen-Hohentengen Airport;Mengen;Deutschland;0;EDTM;48.053890228271484;9.372777938842773;554;1.0;E;Europe/Berlin;48.053890228271484, 9.372777938842773
397;Adolf Würth Airport;Schwaebisch Hall;Deutschland;0;EDTY;49.1183319092;9.783888816829998;396;1.0;E;Europe/Berlin;49.1183319092, 9.783888816829998
401;Hildesheim Airport;Hildesheim;Deutschland;0;EDVM;52.18138885498047;9.946389198303223;89;1.0;E;Europe/Berlin;52.18138885498047, 9.946389198303223
404;Leer-Papenburg Airport;Leer;Deutschland;0;EDWF;53.271942138671875;7.441667079925537;1;1.0;E;Europe/Berlin;53.271942138671875, 7.441667079925537
406;Borkum Airport;Borkum;Deutschland;BMK;EDWR;53.59639;6.709167;1;1.0;E;Europe/Berlin;53.59639, 6.709167
408;Flensburg-Schäferhaus Airport;Flensburg;Deutschland;FLF;EDXF;54.77333450317383;9.378889083862305;40;1.0;E;Europe/Berlin;54.77333450317383, 9.378889083862305
410;Westerland Sylt Airport;Westerland;Deutschland;GWT;EDXW;54.9132003784;8.34047031403;16;1.0;E;Europe/Berlin;54.9132003784, 8.34047031403
751;Ramstein Air Base;Ramstein;Deutschland;RMS;ETAR;49.4369010925293;7.600279808044434;237;1.0;E;Europe/Berlin;49.4369010925293, 7.600279808044434
754;Bückeburg Air Base;Brueckeburg;Deutschland;0;ETHB;52.2785;9.08217;70;1.0;E;Europe/Berlin;52.2785, 9.08217
756;Rheine Bentlage Air Base;Rheine-brentlange;Deutschland;0;ETHE;52.291199;7.387;39;1.0;E;Europe/Berlin;52.291199, 7.387
757;Fritzlar Airport;Fritzlar;Deutschland;FRZ;ETHF;51.1146;9.286;410;1.0;E;Europe/Berlin;51.1146, 9.286
759;Mendig Airfield;Mendig;Deutschland;0;ETHM;50.366001;7.31533;182;1.0;E;Europe/Berlin;50.366001, 7.31533
760;Niederstetten Army Air Base;Niederstetten;Deutschland;0;ETHN;49.391945;9.958889;408;1.0;E;Europe/Berlin;49.391945, 9.958889
761;Roth Airport;Roth;Deutschland;0;ETHR;49.217498779296875;11.100199699401855;386;1.0;E;Europe/Berlin;49.217498779296875, 11.100199699401855
765;Hohenfels Army Air Field;Hohenfels;Deutschland;0;ETIH;49.218101501464844;11.836099624633789;443;1.0;E;Europe/Berlin;49.218101501464844, 11.836099624633789
766;Flugplatz Kitzingen;Kitzingen;Deutschland;KZG;ETIN;49.743099;10.2006;210;1.0;E;Europe/Berlin;49.743099, 10.2006
767;Nordholz Naval Airbase;Nordholz;Deutschland;FCN;ETMN;53.7677001953;8.658499717709999;23;1.0;E;Europe/Berlin;53.7677001953, 8.658499717709999
769;Geilenkirchen Air Base;Geilenkirchen;Deutschland;GKE;ETNG;50.9608;6.04242;90;1.0;E;Europe/Berlin;50.9608, 6.04242
777;Wunstorf Air Base;Wunstorf;Deutschland;0;ETNW;52.457298;9.42717;57;1.0;E;Europe/Berlin;52.457298, 9.42717
779;Coleman Army Air Field;Coleman;Deutschland;0;ETOR;49.5635986328125;8.463390350341797;94;1.0;E;Europe/Berlin;49.5635986328125, 8.463390350341797
783;Erding Airport;Erding;Deutschland;0;ETSE;48.32229995727539;11.948699951171875;462;1.0;E;Europe/Berlin;48.32229995727539, 11.948699951171875
784;Fürstenfeldbruck Air Base;Fuerstenfeldbruck;Deutschland;FEL;ETSF;48.205555;11.266944;519;1.0;E;Europe/Berlin;48.205555, 11.266944
788;Neuburg AFB;Neuburg;Deutschland;0;ETSN;48.710999;11.2115;381;1.0;E;Europe/Berlin;48.710999, 11.2115
789;Gütersloh Air Base;Guetersloh;Deutschland;GUT;ETUO;51.922798;8.30633;72;1.0;E;Europe/Berlin;51.922798, 8.30633
